instance,solver,status,makespan,optimum,optimality_gap,time,optimal,schedule_valid,timestamp
ft06,MIP,Optimal,55.0,55,0.0,0.5584564208984375,True,True,2026-01-05T17:14:29.849413
ft06,CP,Optimal,55,55,0.0,0.035018205642700195,True,True,2026-01-05T17:14:29.849413
ft10,MIP,Optimal,1158.0,930,24.516129032258064,120.1972804069519,True,True,2026-01-05T17:14:29.849413
ft10,CP,Optimal,930,930,0.0,4.331757068634033,True,True,2026-01-05T17:14:29.849413
abz5,MIP,Optimal,1296.0,1234,5.024311183144246,120.29775881767273,True,True,2026-01-05T17:14:29.849413
abz5,CP,Optimal,1234,1234,0.0,1.2743885517120361,True,True,2026-01-05T17:14:29.849413
la01,MIP,Optimal,737.0,666,10.66066066066066,24.6852548122406,True,True,2026-01-05T17:14:29.849413
la01,CP,Optimal,666,666,0.0,0.035886287689208984,True,True,2026-01-05T17:14:29.849413
ta01,MIP,Optimal,1590.0,1231,29.16328188464663,120.14789867401123,True,True,2026-01-05T17:14:29.849413
ta01,CP,Optimal,1231,1231,0.0,4.0679614543914795,True,True,2026-01-05T17:14:29.849413
